	データ名	グループ属性	L*(C)	a*(C)	b*(C)
  2900 	2900 (2022/01/25 16:11:21)	SCI	62.32	55.77	18.14
  2901 	2901 (2022/01/25 16:11:30)	SCI	62.35	55.60	18.04
  2902 	2902 (2022/01/25 16:11:42)	SCI	61.36	52.75	16.47
  2903 	2903 (2022/01/25 16:11:52)	SCI	61.33	52.74	16.41
  2904 	2904 (2022/01/25 16:12:01)	SCI	61.67	53.11	16.67
  2905 	p BGy Z1	SCI	61.09	-2.77	-33.04
  2906 	2906 (2022/01/25 16:12:33)	SCI	61.10	-2.76	-32.92
  2907 	2907 (2022/01/25 16:12:42)	SCI	61.15	-2.93	-32.79
  2908 	2908 (2022/01/25 16:12:57)	SCI	61.08	-2.77	-32.95
  2909 	2909 (2022/01/25 16:13:16)	SCI	61.14	-2.83	-32.87
  2910 	2910 (2022/01/25 16:13:27)	SCI	61.09	-3.01	-32.62
